document_id,source_pdf,page_1based,fallback_pdf,status,suggested_action,review_note
A66,A66.pdf,11,artifacts/pdf_raster_fallback/A66/A66.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A68,A68.pdf,10,artifacts/pdf_raster_fallback/A68/A68.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A68,A68.pdf,11,artifacts/pdf_raster_fallback/A68/A68.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A68,A68.pdf,12,artifacts/pdf_raster_fallback/A68/A68.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A70,A70.pdf,10,artifacts/pdf_raster_fallback/A70/A70.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A70,A70.pdf,11,artifacts/pdf_raster_fallback/A70/A70.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A72,A72.pdf,8,artifacts/pdf_raster_fallback/A72/A72.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A72,A72.pdf,9,artifacts/pdf_raster_fallback/A72/A72.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A73,A73.pdf,12,artifacts/pdf_raster_fallback/A73/A73.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A74,A74.pdf,10,artifacts/pdf_raster_fallback/A74/A74.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A74,A74.pdf,11,artifacts/pdf_raster_fallback/A74/A74.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A74,A74.pdf,12,artifacts/pdf_raster_fallback/A74/A74.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A76,A76.pdf,8,artifacts/pdf_raster_fallback/A76/A76.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A77,A77.pdf,10,artifacts/pdf_raster_fallback/A77/A77.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A77,A77.pdf,11,artifacts/pdf_raster_fallback/A77/A77.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A77,A77.pdf,12,artifacts/pdf_raster_fallback/A77/A77.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A77,A77.pdf,13,artifacts/pdf_raster_fallback/A77/A77.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
A78,A78.pdf,9,artifacts/pdf_raster_fallback/A78/A78.raster-ocr.pdf,fallback_ready_with_placeholders,reject_or_ignore,placeholder 页不是原始科研内容，不允许 accept/edit 成 usable evidence；如该页内容关键，只能回到原 PDF 重新获取或人工补录并二次审核。
